feature_index,importance
93,0.17683945835516623
94,0.16905371852861661
1,0.16205755591759827
92,0.12644877344674785
0,0.07847134830136358
6,0.032221927472867604
4,0.023222633030387022
17,0.017388172096165208
16,0.017029635368254317
29,0.01536958265750235
33,0.01346251688234429
74,0.01255860475623869
14,0.009991894499488696
20,0.009402607158490894
3,0.00740611033696939
69,0.007072031800979552
31,0.006764206363479353
22,0.006069875818976804
34,0.005977035956430731
15,0.005965738896832384
18,0.0058833297205391575
73,0.00569225289342797
36,0.0046787125488492835
35,0.0045405923414904
32,0.004532401649682255
11,0.004499883663317228
37,0.0043603187860341034
30,0.004265394992688742
19,0.003985100785179709
38,0.0036465862489093773
21,0.003398947345288741
7,0.003331986038554773
12,0.003156308150746821
43,0.003030855052161146
24,0.0027271046543045742
9,0.002691354040614688
23,0.0024501821590635475
26,0.0023604350715103746
2,0.002215707352278447
8,0.0020713935060962313
44,0.0020108834600720705
76,0.0019890725062422913
39,0.0019346683495758698
41,0.001753062908549503
40,0.0013849371030925503
13,0.0013150071287333582
90,0.0012701892229342695
45,0.0010973457287507319
5,0.0008612809813311397
10,0.0007111432154171016
55,0.0006991102275595864
53,0.0006821167430651371
49,0.0006771856273499269
57,0.0006623626591418209
46,0.0005847578769097516
54,0.0005087355282468027
27,0.0004926209515537582
47,0.0004733046846642265
48,0.0004732899233845068
78,0.00044088171079380344
52,0.000364261953214279
56,0.0003597650047460031
28,0.00035203338907987056
87,0.0003411366296620053
50,0.0003065092785138835
51,0.0003020246302347438
85,0.00029674375394295264
80,0.0002549954242723352
82,0.0001796547486598795
59,0.0001655926266615577
83,0.00015087593522794188
58,0.00013967212328127148
77,0.00011601094852628927
88,0.00010194955882749615
84,7.763062196222701e-05
25,4.6713863296901716e-05
63,3.3957688356012294e-05
89,3.265971018721163e-05
64,2.6042997616368372e-05
66,1.3521136277611888e-05
67,1.277129435033925e-05
65,1.1245500097109847e-05
